ICESNAME,FinnishNum
38F9,
39F9,
40F9,
37G0,
36G0,
38G0,
39G0,
40G0,
41G0,
37G1,
36G1,
37G2,
38G1,
38G2,113
39G1,
39G2,104
40G1,
38G3,114
37G3,
39G3,105
36G3,
37G4,121
36G4,
38G4,115
39G4,106
40G4,97
41G4,
38G5,116
37G5,122
39G5,107
40G5,98
41G5,
38G6,117
37G6,
38G7,118
39G6,108
39G7,109
40G6,99
40G7,100
41G6,92
41G7,93
43G6,
42G6,
43G7,84
42G7,88
44G6,
44G7,79
45G6,
45G7,74
46G6,
46G7,69
47G7,
38G8,119
39G8,110
40G8,101
41G8,94
43G8,85
42G8,89
44G8,80
45G8,75
46G8,70
47G8,
49G7,
49G8,48
48G8,
50G7,43
50G8,44
52G7,33
51G7,38
52G8,34
51G8,39
53G7,
53G8,29
54G7,
54G8,25
55G7,
55G8,
37G8,
38G9,120
37G9,
39G9,111
40G9,102
41G9,95
43G9,86
42G9,90
44G9,81
45G9,76
46G9,71
47G9,65
48G9,58
49G9,49
50G9,45
52G9,35
51G9,40
53G9,30
54G9,26
55G9,21
56G9,
38H0,
38H1,
39H0,112
39H1,
40H0,103
40H1,
41H0,96
41H1,
43H0,87
42H0,91
43H1,
42H1,
44H0,82
44H1,83
45H0,77
45H1,78
46H0,72
46H1,73
47H0,66
47H1,67
48H0,59
48H1,60
49H0,50
49H1,51
50H0,46
50H1,47
52H0,36
51H0,41
52H1,37
51H1,42
53H0,31
53H1,32
54H0,27
54H1,28
55H0,22
55H1,23
56H0,17
56H1,18
57H0,
57H1,13
43H2,
44H2,
45H2,
46H2,149
47H2,68
48H2,61
49H2,52
55H2,24
56H2,19
57H2,14
58H1,8
58H2,9
59H1,
59H2,4
60H1,
60H2,
44H3,
43H3,
45H3,
46H3,150
47H3,142
48H3,62
49H3,
56H3,20
57H3,15
58H3,10
59H3,5
60H3,1
42H3,
44H4,
43H4,
45H4,
47H4,
48H4,63
49H4,53
57H4,16
58H4,11
59H4,6
60H4,2
47H5,
47H6,
48H5,64
48H6,136
49H5,54
49H6,55
58H5,12
59H5,7
60H5,3
47H7,
48H7,
49H7,57
50H6,
50H7,56
47H8,
48H8,
49H8,
50H8,
48H9,
48J0,
49H9,
49J0,
